word,meaning,status,lessonNumber,tags,partOfSpeech,audioWordFilename,audioMeaningFilename,pinyin,source,notes,seenCount,correctCount,wrongCount,listenedSeconds,lastReviewedAt
面,face; side,known,77,general conversation;clip-pack;LMS 1000,,audio/words/面.mp3,audio/meanings/face;-side.mp3,miàn,LMS 1000,Existing Known.txt entry.,0,0,0,0,
头发,hair,known,77,general conversation;clip-pack;LMS 1000,,audio/words/头发.mp3,audio/meanings/hair.mp3,tóu fa,LMS 1000,Existing Known.txt entry.,0,0,0,0,
高,tall; high,known,78,general conversation;clip-pack;LMS 1000,,audio/words/高.mp3,audio/meanings/tall;-high.mp3,gāo,LMS 1000,Existing Known.txt entry.,0,0,0,0,
高兴,happy; glad,known,78,emotion/internal arc;clip-pack;LMS 1000,,audio/words/高兴.mp3,audio/meanings/happy;-glad.mp3,gāo xìng,LMS 1000,Existing Known.txt entry.,0,0,0,0,
点,a little; point,known,78,general conversation;clip-pack;LMS 1000,,audio/words/点.mp3,audio/meanings/a-little;-point.mp3,diǎn,LMS 1000,Existing Known.txt entry.,0,0,0,0,
旧,old; former,known,78,general conversation;clip-pack;LMS 1000,,audio/words/旧.mp3,audio/meanings/old;-former.mp3,jiù,LMS 1000,Existing Known.txt entry.,0,0,0,0,
明,bright; clear,known,78,general conversation;clip-pack;LMS 1000,,audio/words/明.mp3,audio/meanings/bright;-clear.mp3,míng,LMS 1000,Existing Known.txt entry.,0,0,0,0,
钱包,money bag; wallet,known,79,money/business/shop;clip-pack;LMS 1000,,audio/words/钱包.mp3,audio/meanings/money-bag;-wallet.mp3,qián bāo,LMS 1000,Existing Known.txt entry.,0,0,0,0,
中文,Chinese language,known,79,existing known;clip-pack;LMS 1000,,audio/words/中文.mp3,audio/meanings/Chinese-language.mp3,zhōng wén,LMS 1000,Existing Known.txt entry.,0,0,0,0,
父,father,known,79,existing known;clip-pack;LMS 1000,,audio/words/父.mp3,audio/meanings/father.mp3,fù,LMS 1000,Existing Known.txt entry.,0,0,0,0,
犹太人,Jew,known,79,general conversation;clip-pack;LMS 1000,,audio/words/犹太人.mp3,,yóu tài rén,LMS 1000,Existing Known.txt entry.,0,0,0,0,
不是,is not; no,known,79,existing known;clip-pack;LMS 1000,,audio/words/不是.mp3,audio/meanings/is-not;-no.mp3,bú shì,LMS 1000,Existing Known.txt entry.,0,0,0,0,
在一起,together,known,80,existing known;clip-pack;LMS 1000,,audio/words/在一起.mp3,audio/meanings/together.mp3,zài yì qǐ,LMS 1000,Existing Known.txt entry.,0,0,0,0,
